name,drugbank_id,canonical_smiles,inchikey,formula,molecular_weight,formal_charge,provenance_source
Olaparib,DB00946,O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F)N1CCN(C(=O)C2CC2)CC1,FDLYAMZZIXQODN-UHFFFAOYSA-N,C24H23FN4O3,434.471,0,https://go.drugbank.com/drugs/DB00946
Talazoparib,DB11760,O=C1NN=C2[C@@H]1Nc1ccc(F)cc1[C@@H]2c1ccc(C(F)(F)F)cc1,JKWLISQVDSGZMC-ZFWWWQNUSA-N,C17H11F4N3O,349.287,0,https://go.drugbank.com/drugs/DB11760
Rucaparib,DB12330,CNCc1ccc(-c2cc3[nH]c2CCNC(=O)c2cccc(F)c2-3)cc1,SFLHFJVXKLISDB-UHFFFAOYSA-N,C21H20FN3O,349.409,0,https://go.drugbank.com/drugs/DB12330
Niraparib,DB12340,NC(=O)c1cccc([C@@H]2CCCN(Cc3ccc4ncccc4c3)C2)c1,MHLLHKROSVBTCK-HXUWFJFHSA-N,C22H23N3O,345.446,0,https://go.drugbank.com/drugs/DB12340
Veliparib,DB11927,Cc1nc2c(C(=O)NC3(C)CCCN3)cccc2[nH]1,YMXGYGBDDVVEBG-UHFFFAOYSA-N,C14H18N4O,258.325,0,https://go.drugbank.com/drugs/DB11927
Pamiparib,DB15024,C[C@]12CCCN1CC1=NNC(=O)c3cc(F)cc4[nH]c2c1c34,DENYZIUJOTUUNY-MRXNPFEDSA-N,C16H15FN4O,298.321,0,https://go.drugbank.com/drugs/DB15024
Cisplatin,DB00515,N.N.[Cl][Pt][Cl],LXZZYRPGZAFOLE-UHFFFAOYSA-L,H6Cl2N2Pt,300.046,0,https://go.drugbank.com/drugs/DB00515
Carboplatin,DB00958,N.N.O=[C]1OC2(CCC2)C(=O)[O][Pt]1,UMNDNVGOGRYPAL-UHFFFAOYSA-M,C6H12N2O4Pt,371.25,0,https://go.drugbank.com/drugs/DB00958
Oxaliplatin,DB00526,N[C@@H]1CCCC[C@H]1N.O=C1[O][Pt][O]C(=O)C1=O,LMSVSAKXFWMJKN-BNTLRKBRSA-L,C9H14N2O5Pt,425.298,0,https://go.drugbank.com/drugs/DB00526
Paclitaxel,DB01204,CC(=O)O[C@H]1C(=O)[C@@]2(C)[C@H](O)C[C@H]3OC[C@@]3(OC(C)=O)[C@H]2[C@H](OC(=O)c2ccccc2)[C@]2(O)C[C@@H](OC(=O)[C@H](O)[C@@H](NC(=O)c3ccccc3)c3ccccc3)C(C)=C1C2(C)C,RCINICONZNJXQF-SKQHLTRJSA-N,C47H51NO14,853.918,0,https://go.drugbank.com/drugs/DB01204
Docetaxel,DB01248,CC(C)(C)OC(=O)N[C@@H](c1ccccc1)[C@H](O)C(=O)O[C@@H]1CC2=C3C(=O)[C@@H](O)[C@]4(C)[C@@H](C[C@H](OC(=O)c5ccccc5)[C@]34C)C(C)(C)[C@@]2(O)C1,MHIHCAJNFDQWOP-LXDWKUKYSA-N,C39H47NO10,689.802,0,https://go.drugbank.com/drugs/DB01248
