name,Docking_Score_kcal_mol,drug_class,drugbank_id,smiles,MW,LogP,LogS,WS_mg_mL,HBA,HBD,PSA,RBC,NOR,AromRings,Polarizability_alpha,Fraction_Csp3,HeavyAtoms,E_ads_kcal_mol,E_HOMO,E_LUMO,Gap_eV,IP_eV,EA_eV,Hardness_eta,Softness_S,Electronegativity_chi,Chemical_Potential_mu,Electrophilicity_omega
Olaparib,-13.563,PARP Inhibitor,DB00140,O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F)N1CCN(C(=O)C2CC2)CC1,1371.871,2.347,-4.119,0.0331,6,2,123.67,4,43,9,46.29,0.333,107,-42.11,-5.7489,-3.2774,2.4716,5.7489,3.2774,1.2358,0.4046,4.5132,-4.5132,8.2411
Talazoparib,-12.596,PARP Inhibitor,DB11760,FC(F)(c1ccc(cc1)[C@H]1c2cc(F)ccc2N[C@@H]2C(=O)NN=C12)F,1286.687,3.256,-4.346,0.0157,5,3,90.79,1,42,8,32.773,0.176,100,-39.61,-5.6717,-3.28,2.3916,5.6717,3.28,1.1958,0.4181,4.4759,-4.4759,8.3764
Rucaparib,-10.879,PARP Inhibitor,DB12331,CNCc1ccc(-c2cc3[nH]c2CCNC(=O)c2cccc(F)c2-3)cc1,1286.809,3.493,-4.493,0.0112,4,4,94.22,3,42,9,39.808,0.19,101,-40.06,-5.5562,-3.2978,2.2584,5.5562,3.2978,1.1292,0.4428,4.427,-4.427,8.6782
Niraparib,-12.35,PARP Inhibitor,DB12340,NC(=O)c1cccc(c1)[C@@H]1CCCN(Cc2ccc3ncccc3c2)C1,1282.846,3.713,-4.513,0.0106,5,2,96.52,4,42,9,41.208,0.273,101,-39.24,-5.5545,-3.2934,2.2611,5.5545,3.2934,1.1306,0.4423,4.4239,-4.4239,8.6556
Veliparib,-10.92,PARP Inhibitor,DB11692,CC1(NC(=O)c2cccc3[nH]c(C)nc23)CCCN1,1195.725,1.701,-2.732,0.4793,5,4,107.11,2,41,8,29.309,0.429,94,-36.27,-5.7406,-3.2483,2.4922,5.7406,3.2483,1.2461,0.4012,4.4944,-4.4944,8.1052
Pamiparib,-12.357,PARP Inhibitor,DB15002,C[C@]12CCCN1CC3=NNC(=O)C4=C5C3=C2NC5=CC(=C4)F,1235.721,2.079,-3.302,0.1488,5,3,97.79,0,43,8,31.878,0.375,97,-36.94,-5.7157,-3.2608,2.4549,5.7157,3.2608,1.2275,0.4073,4.4883,-4.4883,8.2057
Buparlisib,-12.318,PI3K Inhibitor,DB12128,Cc1nc(nc(n1)N1CCOCC1)-c1ccc(F)c(N2CCOCC2)c1,1296.805,1.659,-3.257,0.1988,9,1,100.91,3,42,8,38.063,0.5,101,-40.6,-5.7398,-3.2629,2.4769,5.7398,3.2629,1.2385,0.4037,4.5014,-4.5014,8.1805
Cediranib,-12.856,VEGFR/c-Kit Inhibitor,DB06436,COc1cc2ncnc(Nc3ccc4[nH]c(C)nc4c3F)c2cc1OCC1CCN(C)CC1,1387.918,4.426,-5.452,0.0016,9,3,125.49,6,43,10,49.898,0.375,108,-49.77,-5.6903,-3.4096,2.2807,5.6903,3.4096,1.1403,0.4385,4.5499,-4.5499,9.0772
Paxalisib,-12.198,PI3K/mTOR Inhibitor,DB15438,CC(C)(C)c1nc(nc(n1)N1CCOCC1)-c1cnc(N2CCOCC2)nc1N,1337.887,0.882,-2.987,0.4131,12,2,152.71,3,42,8,43.616,0.632,104,-44.86,-5.8247,-3.2272,2.5975,5.8247,3.2272,1.2988,0.385,4.526,-4.526,7.8862
Doxorubicin,-12.531,Anthracycline,DB00997,COc1cccc2C(=O)c3c(O)c4C[C@](O)(C(=O)CO)C[C@@H](O[C@H]5C[C@H](N)[C@H](O)[C@H](C)O5)c4c(O)c3C(=O)c12,1480.925,0.001,-3.108,0.4235,14,7,243.37,5,43,8,52.227,0.444,114,-52.45,-5.9295,-3.1725,2.757,5.9295,3.1725,1.3785,0.3627,4.551,-4.551,7.5122
Epirubicin,-12.316,Anthracycline,DB00445,COc1cccc2C(=O)c3c(O)c4C[C@](O)(C(=O)CO)C[C@@H](O[C@H]5C[C@H](N)[C@@H](O)[C@H](C)O5)c4c(O)c3C(=O)c12,1480.925,0.001,-3.108,0.4235,14,7,243.37,5,43,8,52.227,0.444,114,-52.45,-5.9295,-3.1725,2.757,5.9295,3.1725,1.3785,0.3627,4.551,-4.551,7.5122
Idarubicin,-12.998,Anthracycline,DB00642,CC(=O)[C@@]1(O)Cc2c(O)c3C(=O)c4ccccc4C(=O)c3c(O)c2C[C@@H]1O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1,1434.9,0.5,-3.288,0.2562,12,6,213.91,3,43,8,49.124,0.423,111,-48.79,-5.8966,-3.1863,2.7103,5.8966,3.1863,1.3551,0.369,4.5414,-4.5414,7.6099
Topotecan,-12.746,Topoisomerase I Inhibitor,DB01030,CCC1(O)C(=O)OCc2c1cc1-c3nc4cc(O)c(CN(C)C)cc4cc3Cn1c2=O,1358.853,1.847,-3.8,0.0667,9,3,142.19,3,43,9,45.023,0.348,106,-44.89,-5.7799,-3.2598,2.5201,5.7799,3.2598,1.26,0.3968,4.5199,-4.5199,8.1066
Irinotecan,-15.296,Topoisomerase I Inhibitor,DB00762,CCC1(O)C(=O)OCc2c1cc1-c3nc4ccc(OC(=O)N5CCC(CC5)N5CCCCC5)cc4cc3Cn1c2=O,1496.035,3.529,-5.617,0.0013,10,2,151.5,3,45,9,59.685,0.484,116,-49.48,-5.7913,-3.2687,2.5226,5.7913,3.2687,1.2613,0.3964,4.53,-4.53,8.1348
SN-38,-12.379,Topoisomerase I Inhibitor / ADC Payload,DB05482,CCC1(O)C(=O)OCc2c1cc1-c3nc4ccc(O)cc4cc3Cn1c2=O,1301.757,1.785,-3.596,0.0923,8,3,138.95,1,43,9,38.13,0.25,102,-42.63,-5.7725,-3.2586,2.5139,5.7725,3.2586,1.257,0.3978,4.5156,-4.5156,8.1109
Etoposide,-13.022,Topoisomerase II Inhibitor,DB00773,COc1cc([C@@H]2c3cc4OCOc4cc3[C@@H](O[C@@H]3O[C@@H]4CO[C@@H](C)O[C@@H]4[C@H](O)[C@H]3O)[C@H]3COC(=O)[C@H]23)cc(OC)c1O,1525.962,1.339,-4.214,0.036,15,4,198.13,5,45,8,54.84,0.552,117,-53.52,-5.8833,-3.2078,2.6755,5.8833,3.2078,1.3377,0.3738,4.5456,-4.5456,7.7228
Gemcitabine,-9.932,Antimetabolite,DB00441,Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)c(=O)n1,1200.6,-1.289,-0.775,44.2178,8,4,147.9,2,40,7,21.746,0.556,93,-36.5,-5.8438,-3.1942,2.6496,5.8438,3.1942,1.3248,0.3774,4.519,-4.519,7.7072
Capecitabine,-10.523,Antimetabolite,DB01101,CCCCCOC(=O)Nc1nc(=O)n([C@@H]2O[C@H](C)[C@@H](O)[C@H]2O)cc1F,1296.754,0.76,-2.329,1.6866,9,4,160.21,6,40,7,33.515,0.667,100,-41.04,-5.8532,-3.1981,2.6551,5.8532,3.1981,1.3275,0.3766,4.5257,-4.5257,7.7142
Fluorouracil,-8.276,Antimetabolite,DB00544,O=c1[nH]cc(F)c(=O)[nH]1,1067.478,-0.798,-0.637,29.9873,4,3,103.02,0,39,7,10.957,0.0,84,-28.82,-5.7701,-3.2137,2.5564,5.7701,3.2137,1.2782,0.3912,4.4919,-4.4919,7.8926
Methotrexate,-11.993,Antifolate,DB00563,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,1391.847,0.268,-2.591,1.1642,12,6,247.84,9,41,9,46.879,0.25,108,-51.09,-5.9209,-3.1945,2.7264,5.9209,3.1945,1.3632,0.3668,4.5577,-4.5577,7.6191
Pemetrexed,-11.948,Antifolate,DB00643,Nc1nc2[nH]c(CCc3ccc(cc3)C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc2c(=O)[nH]1,1364.817,0.666,-2.674,0.9057,8,7,228.56,9,41,9,43.896,0.25,106,-47.23,-5.8976,-3.2028,2.6948,5.8976,3.2028,1.3474,0.3711,4.5502,-4.5502,7.6829
Cytarabine,-9.504,Antimetabolite,DB00503,Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2O)c(=O)n1,1180.619,-2.563,0.138,333.8514,9,5,168.13,2,40,7,22.166,0.556,92,-36.27,-5.87,-3.1745,2.6954,5.87,3.1745,1.3477,0.371,4.5222,-4.5222,7.5872
Vinorelbine,-9.983,Vinca Alkaloid,DB00361,CCC1=C[C@@H]2C[C@@](C1)(c1c([nH]c3ccccc13)[C@@]1(CO2)C[C@H]2N(C)c3ccccc3[C@@]23C=CCN4CC[C@]13[C@H]4CC)C(=O)OC,1541.207,6.546,-7.756,0.0,7,2,95.1,3,47,9,70.475,0.513,120,-48.22,-5.512,-3.393,2.119,5.512,3.393,1.0595,0.4719,4.4525,-4.4525,9.3559
Ixabepilone,-8.716,Epothilone,DB04845,CC1CCCC(C)(C)[C@@H](O)CC(=O)N[C@H](C)[C@@H](O)[C@@H](C)/C(=C/c2nc(C)cs2)C1(C)C,1388.089,4.96,-5.812,0.0007,7,4,119.75,1,40,7,51.058,0.76,106,-42.38,-5.771,-3.2328,2.5383,5.771,3.2328,1.2691,0.394,4.5019,-4.5019,7.9846
Eribulin,-12.498,Halichondrin B Analog,DB08871,C=C1[C@H]2C[C@H]3O[C@]4(O[C@H]5C[C@@H]6O[C@]7(C[C@H]8O[C@@H]9[C@H](C)C(=C)C[C@@]9(O[C@@H]8C[C@H]7C5)C6)[C@H]4CC[C@@H]3O2)C[C@@H]1O,1450.043,3.574,-5.27,0.0028,9,2,112.91,0,49,6,52.169,0.867,112,-41.18,-5.7922,-3.2094,2.5828,5.7922,3.2094,1.2914,0.3872,4.5008,-4.5008,7.8432
Lapatinib,-14.185,EGFR/HER2 Inhibitor,DB01259,CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1,1518.469,6.139,-7.084,0.0,10,3,143.65,11,43,11,61.095,0.172,115,-56.78,-5.7002,-3.5726,2.1276,5.7002,3.5726,1.0638,0.47,4.6364,-4.6364,10.1036
Gefitinib,-11.764,EGFR Inhibitor,DB00317,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1,1384.31,4.276,-5.158,0.0031,9,2,106.04,8,42,9,46.836,0.364,106,-47.09,-5.6649,-3.3364,2.3285,5.6649,3.3364,1.1643,0.4295,4.5006,-4.5006,8.6988
Erlotinib,-11.237,EGFR Inhibitor,DB00530,COCCOc1cc2ncnc(Nc3cccc(C#C)c3)c2cc1OCCOC,1330.843,3.405,-4.173,0.0264,9,2,112.03,10,41,9,44.373,0.273,104,-44.65,-5.6965,-3.2896,2.4069,5.6965,3.2896,1.2035,0.4155,4.493,-4.493,8.3872
Afatinib,-12.293,EGFR Inhibitor,DB08907,CN(C)C/C=C/C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]1CCOC1,1423.347,4.39,-5.439,0.0018,9,3,125.91,8,42,9,51.693,0.292,109,-48.92,-5.7483,-3.2949,2.4534,5.7483,3.2949,1.2267,0.4076,4.5216,-4.5216,8.3332
