name,drug_class,smiles,formal_charge,E_HOMO_eV,E_LUMO_eV,Gap_eV,Eta_eV,Mu_eV,Omega_eV,MolMR,MolWt,E_drug_Eh,vina_parp1_4UND_kcal_mol,delta_Eint_B36N36_kcal_mol
Olaparib,PARP Inhibitor,O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F)N1CCN(C(=O)C2CC2)CC1,0,-10.5779,-7.6656,2.9123,1.4561,-9.1218,28.5707,116.777,434.47,-91.7601,-11.18,-0.082
Talazoparib,PARP Inhibitor,FC(F)(c1ccc(cc1)[C@H]1c2cc(F)ccc2N[C@@H]2C(=O)NN=C12)F,0,-10.5157,-8.0663,2.4494,1.2247,-9.291,35.2424,82.675,349.29,-73.784408,-11.06,-0.872
Rucaparib,PARP Inhibitor,CNCc1ccc(-c2cc3[nH]c2CCNC(=O)c2cccc(F)c2-3)cc1,0,-9.5195,-7.4222,2.0973,1.0487,-8.4709,34.2132,100.424,349.41,-72.685899,-8.48,-0.434
Niraparib,PARP Inhibitor,NC(=O)c1cccc(c1)[C@@H]1CCCN(Cc2ccc3ncccc3c2)C1,0,-9.4901,-7.6457,1.8444,0.9222,-8.5679,39.801,103.955,345.45,-71.672189,-11.35,-0.649
Veliparib,PARP Inhibitor,CC1(NC(=O)c2cccc3[nH]c(C)nc23)CCCN1,0,-9.3842,-7.2208,2.1634,1.0817,-8.3025,31.8626,73.939,258.32,-54.9745,-8.55,-0.106
Pamiparib,PARP Inhibitor,C[C@]12CCCN1CC3=NNC(=O)C4=C5C3=C2NC5=CC(=C4)F,0,-9.9966,-7.6526,2.344,1.172,-8.8246,33.2225,80.419,298.32,-62.440825,-11.26,-2.614
Cisplatin,Platinum Cross-linker,N.N.Cl[Pt]Cl,0,-7.0092,-6.5572,0.452,0.226,-6.7832,101.796,21.75,300.05,650.885038,,-11.125
Carboplatin,Platinum Cross-linker,N.N.O=C1OC2(CCC2)C(=O)O[Pt]1,0,-5.9868,-5.6903,0.2965,0.1482,-5.8385,114.9702,39.199,371.25,511.896739,,-16.377
Oxaliplatin,Platinum Cross-linker,N[C@@H]1CCCC[C@H]1N.O=C1O[Pt]OC(=O)C1=O,0,-5.2632,-5.1143,0.1489,0.0745,-5.1888,180.8135,51.61,425.3,-42.387714,,-11.638
Paclitaxel,Taxane Antimitotic,CC(=O)O[C@H]1C(=O)[C@@]2(C)[C@H](O)C[C@H]3OC[C@@]3(OC(C)=O)[C@H]2[C@H](OC(=O)c2ccccc2)[C@]2(O)C[C@@H](OC(=O)[C@H](O)[C@@H](NC(=O)c3ccccc3)c3ccccc3)C(C)=C1C2(C)C,0,-10.6122,-7.8776,2.7346,1.3673,-9.2449,31.2544,217.69,853.92,-186.485801,-7.59,-0.924
Docetaxel,Taxane Antimitotic,CC(C)(C)OC(=O)N[C@@H](c1ccccc1)[C@H](O)C(=O)O[C@H]1C[C@@]2(O)C(=C3C(=O)[C@@H](O)[C@]4(C)[C@@H](C[C@H](OC(=O)c5ccccc5)[C@]34C)C2(C)C)C1,0,-9.5346,-8.9242,0.6104,0.3052,-9.2294,139.5508,180.411,689.8,-151.05232,-9.14,-3.52
Cabazitaxel,Taxane Antimitotic,CC(C)(C)OC(=O)N[C@@H](c1ccccc1)[C@H](O)C(=O)O[C@H]1C[C@@]2(O)C(=C3C(=O)[C@@H](OC)[C@]4(C)[C@@H](C[C@H](OC(=O)c5ccccc5)[C@]34C)C2(C)C)C1,0,-9.5314,-8.8761,0.6553,0.3277,-9.2037,129.2675,185.201,703.83,-154.213068,-9.37,-1.943
Eribulin,Antimitotic,C=C1C[C@@H]2O[C@@H]3C[C@@H]4O[C@H]5CC[C@@H]6O[C@H]7C[C@H]8O[C@@H]9C[C@@H]%10O[C@H]%11CC[C@@H](CN)O[C@H]%11C[C@@H]%10O[C@H]9C[C@@H]8O[C@H]7C[C@@H]6O[C@H]5C[C@@H]4O[C@H]3C[C@@H]2O1,0,-9.9211,-5.3903,4.5308,2.2654,-7.6557,12.9358,169.698,687.83,-153.97101,-8.07,-1.905
Doxorubicin,Anthracycline,COc1cccc2C(=O)c3c(O)c4c(c(O)c3C(=O)c12)C[C@@](O)(C(=O)CO)C[C@@H]4O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1,0,-10.2759,-8.9194,1.3565,0.6783,-9.5976,67.9063,131.754,543.53,-120.26945,-10.75,-2.452
Epirubicin,Anthracycline,COc1cccc2C(=O)c3c(O)c4c(c(O)c3C(=O)c12)C[C@@](O)(C(=O)CO)C[C@@H]4O[C@H]1C[C@H](N)[C@@H](O)[C@H](C)O1,0,-10.2202,-9.0629,1.1573,0.5786,-9.6416,80.3245,131.754,543.53,-120.282469,-9.02,-2.636
Etoposide,Topo II Inhibitor,COc1cc([C@@H]2c3cc4c(cc3[C@@H](O[C@@H]3O[C@H]5COC(C)O[C@H]5[C@H]3O)[C@H]3COC(=O)[C@@]23)OCO4)cc(OC)c1O,0,-9.4283,-6.5877,2.8406,1.4203,-8.008,22.5755,132.092,557.53,-123.547045,-9.96,-3.82
SN-38,ADC Payload,CCC1=C2CN3C(=CC4=C(C3=O)C=C(C=C4)O)C2=NC5=C1C=CC(=C5)O,0,-9.9466,-7.9107,2.0359,1.0179,-8.9287,39.1575,100.755,344.37,-71.239083,,-1.038
Exatecan,ADC Payload,CC[C@@]1(O)C(=O)OCC2=C1C=C3N(C2=O)CC4=C3C=C(F)C5=C4CCCN5,0,-10.2143,-7.5985,2.6158,1.3079,-8.9064,30.3249,95.993,370.38,-79.442274,-10.66,-1.183
Topotecan,Topo I Inhibitor,CCC1(O)C(=O)OCC2=C1C=C3N(C2=O)CC4=C3C=C(CN(C)C)C5=C4C=CC(=C5)O,0,-9.7452,-7.8243,1.9209,0.9605,-8.7848,40.1748,115.786,420.47,-89.879067,-10.77,-1.597
