name,best_orientation_deg,delta_Eint_SP_kcal_mol,delta_Eads_kcal_mol,min_contact_A,adsorption_mode,convergence_status,final_pose_file,sha256
Olaparib,0,-17.145,-16.788,3.133,physisorption,CONVERGED,calculations\tnbc_recompute\Olaparib\complex_opt.xyz,1ee17459f4c56f1f4dff04728a31b00ef3ae8628d2da0d922d9370ef5dfa6130
Talazoparib,0,-24.123,-21.747,2.933,physisorption,CONVERGED,calculations\tnbc_recompute\Talazoparib\complex_opt.xyz,65c1f016181199bfd4fcbe4a0b6e675bd99a50f317a8468fa7bf4449157a1c0a
Rucaparib,270,-43.398,-29.67,1.716,chemisorption,CONVERGED,calculations\tnbc_recompute\Rucaparib\complex_opt.xyz,8fbd6f64fe30eb5dc3e0b683c864d4d3befd7bd138312b3af342e7dd4b68419d
Niraparib,270,-12.064,-11.916,3.46,physisorption,CONVERGED,calculations\tnbc_recompute\Niraparib\complex_opt.xyz,2120eeda8a3224805fb27a371295f5070c3b51cc8ba587c29d83b37ca5aa92cc
Veliparib,90,-18.398,-17.08,2.897,physisorption,CONVERGED,calculations\tnbc_recompute\Veliparib\complex_opt.xyz,503ce10e1037cf00d7446efa9adf549b6fa1f5040dfd71c473b6de5979c97e16
Pamiparib,90,-22.719,-21.97,2.667,physisorption,CONVERGED,calculations\tnbc_recompute\Pamiparib\complex_opt.xyz,00b4ab3eb8c829c9ba19d3dd3c0b39d6b8326919b646bc429503ac3d24e97e09
Paclitaxel,270,-7.727,-7.534,3.349,physisorption,CONVERGED,calculations\tnbc_recompute\Paclitaxel\complex_opt.xyz,64cbca9c0243aaa176cf1ef0ad5e7c2848fc70f3fa8328596b6a0d465e3795cc
Docetaxel,0,-20.186,-20.116,2.813,physisorption,CONVERGED,calculations\tnbc_recompute\Docetaxel\complex_opt.xyz,d88312b20db808ffe66c7205b1ce84db3db4f5ca7573c2ca9203d9ae1f41e05d
Cabazitaxel,270,-23.121,-22.47,2.897,physisorption,CONVERGED,calculations\tnbc_recompute\Cabazitaxel\complex_opt.xyz,d17310e1ac443ae5b3ba62b760f6441b378f0558c9526ffd33e0ccfc217069c4
Eribulin,180,-23.068,-21.418,3.31,physisorption,CONVERGED,calculations\tnbc_recompute\Eribulin\complex_opt.xyz,b52a99e8a440653040ab4749bc444ab6434fdb07a6cfd5626849f0f199621968
