name,drug_class,drugbank_id,smiles,MW,LogP,LogS,WS_mg_mL,HBA,HBD,PSA,RBC,NOR,AromRings,Polarizability_alpha,Fraction_Csp3,HeavyAtoms
Olaparib,PARP Inhibitor,DB00140,O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F)N1CCN(C(=O)C2CC2)CC1,434.471,2.347,-4.119,0.0331,4,1,86.37,4,5,3,46.29,0.333,32
Talazoparib,PARP Inhibitor,DB11760,FC(F)(c1ccc(cc1)[C@H]1c2cc(F)ccc2N[C@@H]2C(=O)NN=C12)F,349.287,3.256,-4.346,0.0157,3,2,53.49,1,4,2,32.773,0.176,25
Rucaparib,PARP Inhibitor,DB12331,CNCc1ccc(-c2cc3[nH]c2CCNC(=O)c2cccc(F)c2-3)cc1,349.409,3.493,-4.493,0.0112,2,3,56.92,3,4,3,39.808,0.19,26
Niraparib,PARP Inhibitor,DB12340,NC(=O)c1cccc(c1)[C@@H]1CCCN(Cc2ccc3ncccc3c2)C1,345.446,3.713,-4.513,0.0106,3,1,59.22,4,4,3,41.208,0.273,26
Veliparib,PARP Inhibitor,DB11692,CC1(NC(=O)c2cccc3[nH]c(C)nc23)CCCN1,258.325,1.701,-2.732,0.4793,3,3,69.81,2,3,2,29.309,0.429,19
Pamiparib,PARP Inhibitor,DB15002,C[C@]12CCCN1CC3=NNC(=O)C4=C5C3=C2NC5=CC(=C4)F,298.321,2.079,-3.302,0.1488,3,2,60.49,0,5,2,31.878,0.375,22
Everolimus,mTOR Inhibitor,DB00444,CO[C@@H]1C[C@H](C)CC[C@@H](C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)\C=C\C=C\C=C\[C@H](C)[C@H](O)C(=O)C(C)(C)[C@@H](O)C(=O)N2CCCC[C@H]2C(=O)O1,705.93,4.568,-6.963,0.0001,10,3,159.9,2,2,0,75.539,0.744,50
Buparlisib,PI3K Inhibitor,DB12128,Cc1nc(nc(n1)N1CCOCC1)-c1ccc(F)c(N2CCOCC2)c1,359.405,1.659,-3.257,0.1988,7,0,63.61,3,4,2,38.063,0.5,26
Cediranib,VEGFR/c-Kit Inhibitor,DB06436,COc1cc2ncnc(Nc3ccc4[nH]c(C)nc4c3F)c2cc1OCC1CCN(C)CC1,450.518,4.426,-5.452,0.0016,7,2,88.19,6,5,4,49.898,0.375,33
Paxalisib,PI3K/mTOR Inhibitor,DB15438,CC(C)(C)c1nc(nc(n1)N1CCOCC1)-c1cnc(N2CCOCC2)nc1N,400.487,0.882,-2.987,0.4131,10,1,115.41,3,4,2,43.616,0.632,29
Doxorubicin,Anthracycline,DB00997,COc1cccc2C(=O)c3c(O)c4C[C@](O)(C(=O)CO)C[C@@H](O[C@H]5C[C@H](N)[C@H](O)[C@H](C)O5)c4c(O)c3C(=O)c12,543.525,0.001,-3.108,0.4235,12,6,206.07,5,5,2,52.227,0.444,39
Epirubicin,Anthracycline,DB00445,COc1cccc2C(=O)c3c(O)c4C[C@](O)(C(=O)CO)C[C@@H](O[C@H]5C[C@H](N)[C@@H](O)[C@H](C)O5)c4c(O)c3C(=O)c12,543.525,0.001,-3.108,0.4235,12,6,206.07,5,5,2,52.227,0.444,39
Idarubicin,Anthracycline,DB00642,CC(=O)[C@@]1(O)Cc2c(O)c3C(=O)c4ccccc4C(=O)c3c(O)c2C[C@@H]1O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1,497.5,0.5,-3.288,0.2562,10,5,176.61,3,5,2,49.124,0.423,36
Topotecan,Topoisomerase I Inhibitor,DB01030,CCC1(O)C(=O)OCc2c1cc1-c3nc4cc(O)c(CN(C)C)cc4cc3Cn1c2=O,421.453,1.847,-3.8,0.0667,7,2,104.89,3,5,3,45.023,0.348,31
Irinotecan,Topoisomerase I Inhibitor,DB00762,CCC1(O)C(=O)OCc2c1cc1-c3nc4ccc(OC(=O)N5CCC(CC5)N5CCCCC5)cc4cc3Cn1c2=O,558.635,3.529,-5.617,0.0013,8,1,114.2,3,7,3,59.685,0.484,41
SN-38,Topoisomerase I Inhibitor / ADC Payload,DB05482,CCC1(O)C(=O)OCc2c1cc1-c3nc4ccc(O)cc4cc3Cn1c2=O,364.357,1.785,-3.596,0.0923,6,2,101.65,1,5,3,38.13,0.25,27
Etoposide,Topoisomerase II Inhibitor,DB00773,COc1cc([C@@H]2c3cc4OCOc4cc3[C@@H](O[C@@H]3O[C@@H]4CO[C@@H](C)O[C@@H]4[C@H](O)[C@H]3O)[C@H]3COC(=O)[C@H]23)cc(OC)c1O,588.562,1.339,-4.214,0.036,13,3,160.83,5,7,2,54.84,0.552,42
