name,Docking_Score_kcal_mol,drug_class,drugbank_id,smiles,MW,LogP,LogS,WS_mg_mL,HBA,HBD,PSA,RBC,NOR,AromRings,Polarizability_alpha,Fraction_Csp3,HeavyAtoms,E_ads_kcal_mol,E_HOMO,E_LUMO,Gap_eV,IP_eV,EA_eV,Hardness_eta,Softness_S,Electronegativity_chi,Chemical_Potential_mu,Electrophilicity_omega
Topotecan,-12.746,Topoisomerase I Inhibitor,DB01030,CCC1(O)C(=O)OCc2c1cc1-c3nc4cc(O)c(CN(C)C)cc4cc3Cn1c2=O,1358.853,1.847,-3.8,0.0667,9,3,142.19,3,43,9,45.023,0.348,106,-44.89,-5.7799,-3.2598,2.5201,5.7799,3.2598,1.26,0.3968,4.5199,-4.5199,8.1066
Paxalisib,-12.198,PI3K/mTOR Inhibitor,DB15438,CC(C)(C)c1nc(nc(n1)N1CCOCC1)-c1cnc(N2CCOCC2)nc1N,1337.887,0.882,-2.987,0.4131,12,2,152.71,3,42,8,43.616,0.632,104,-44.86,-5.8247,-3.2272,2.5975,5.8247,3.2272,1.2988,0.385,4.526,-4.526,7.8862
Gemcitabine,-9.932,Antimetabolite,DB00441,Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)c(=O)n1,1200.6,-1.289,-0.775,44.2178,8,4,147.9,2,40,7,21.746,0.556,93,-36.5,-5.8438,-3.1942,2.6496,5.8438,3.1942,1.3248,0.3774,4.519,-4.519,7.7072
Doxorubicin,-12.531,Anthracycline,DB00997,COc1cccc2C(=O)c3c(O)c4C[C@](O)(C(=O)CO)C[C@@H](O[C@H]5C[C@H](N)[C@H](O)[C@H](C)O5)c4c(O)c3C(=O)c12,1480.925,0.001,-3.108,0.4235,14,7,243.37,5,43,8,52.227,0.444,114,-52.45,-5.9295,-3.1725,2.757,5.9295,3.1725,1.3785,0.3627,4.551,-4.551,7.5122
Abemaciclib,-14.241,CDK4/6 Inhibitor,DB12001,CCN1CCN(Cc2ccc(Nc3ncc(F)c(Nc4ccc5c(c4)n(C(C)C)c(=O)n5C)n3)cn2)CC1,1457.029,3.87,-5.381,0.0022,10,3,133.44,8,43,10,58.567,0.407,113,-52.13,-5.7419,-3.3969,2.345,5.7419,3.3969,1.1725,0.4264,4.5694,-4.5694,8.9039
Olaparib,-13.563,PARP Inhibitor,DB00140,O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F)N1CCN(C(=O)C2CC2)CC1,1371.871,2.347,-4.119,0.0331,6,2,123.67,4,43,9,46.29,0.333,107,-42.11,-5.7489,-3.2774,2.4716,5.7489,3.2774,1.2358,0.4046,4.5132,-4.5132,8.2411
Veliparib,-10.92,PARP Inhibitor,DB11692,CC1(NC(=O)c2cccc3[nH]c(C)nc23)CCCN1,1195.725,1.701,-2.732,0.4793,5,4,107.11,2,41,8,29.309,0.429,94,-36.27,-5.7406,-3.2483,2.4922,5.7406,3.2483,1.2461,0.4012,4.4944,-4.4944,8.1052
Capecitabine,-10.523,Antimetabolite,DB01101,CCCCCOC(=O)Nc1nc(=O)n([C@@H]2O[C@H](C)[C@@H](O)[C@H]2O)cc1F,1296.754,0.76,-2.329,1.6866,9,4,160.21,6,40,7,33.515,0.667,100,-41.04,-5.8532,-3.1981,2.6551,5.8532,3.1981,1.3275,0.3766,4.5257,-4.5257,7.7142
Erlotinib,-11.237,EGFR Inhibitor,DB00530,COCCOc1cc2ncnc(Nc3cccc(C#C)c3)c2cc1OCCOC,1330.843,3.405,-4.173,0.0264,9,2,112.03,10,41,9,44.373,0.273,104,-44.65,-5.6965,-3.2896,2.4069,5.6965,3.2896,1.2035,0.4155,4.493,-4.493,8.3872
Pamiparib,-12.357,PARP Inhibitor,DB15002,C[C@]12CCCN1CC3=NNC(=O)C4=C5C3=C2NC5=CC(=C4)F,1235.721,2.079,-3.302,0.1488,5,3,97.79,0,43,8,31.878,0.375,97,-36.94,-5.7157,-3.2608,2.4549,5.7157,3.2608,1.2275,0.4073,4.4883,-4.4883,8.2057
