name,Docking_Score_kcal_mol,drug_class,drugbank_id,smiles,MW,LogP,LogS,WS_mg_mL,HBA,HBD,PSA,RBC,NOR,AromRings,Polarizability_alpha,Fraction_Csp3,HeavyAtoms,E_ads_kcal_mol,E_HOMO,E_LUMO,Gap_eV,IP_eV,EA_eV,Hardness_eta,Softness_S,Electronegativity_chi,Chemical_Potential_mu,Electrophilicity_omega
Topotecan,-11.753,Topoisomerase I Inhibitor,DB01030,CCC1(O)C(=O)OCc2c1cc1-c3nc4cc(O)c(CN(C)C)cc4cc3Cn1c2=O,1313.853,1.847,-3.8,0.0667,7,2,104.89,3,43,9,45.023,0.348,103,-31.39,-6.0559,-3.0499,3.0061,6.0559,3.0499,1.503,0.3327,4.5529,-4.5529,6.8957
Paxalisib,-11.114,PI3K/mTOR Inhibitor,DB15438,CC(C)(C)c1nc(nc(n1)N1CCOCC1)-c1cnc(N2CCOCC2)nc1N,1292.887,0.882,-2.987,0.4131,10,1,115.41,3,42,8,43.616,0.632,101,-29.36,-6.1098,-3.0215,3.0883,6.1098,3.0215,1.5442,0.3238,4.5656,-4.5656,6.7496
Gemcitabine,-8.889,Antimetabolite,DB00441,Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)c(=O)n1,1155.6,-1.289,-0.775,44.2178,6,3,110.6,2,40,7,21.746,0.556,90,-23.2,-6.128,-2.9927,3.1353,6.128,2.9927,1.5676,0.319,4.5603,-4.5603,6.633
Doxorubicin,-11.262,Anthracycline,DB00997,COc1cccc2C(=O)c3c(O)c4C[C@](O)(C(=O)CO)C[C@@H](O[C@H]5C[C@H](N)[C@H](O)[C@H](C)O5)c4c(O)c3C(=O)c12,1435.925,0.001,-3.108,0.4235,12,6,206.07,5,43,8,52.227,0.444,111,-31.65,-6.2097,-2.9738,3.2359,6.2097,2.9738,1.618,0.309,4.5917,-4.5917,6.5156
Abemaciclib,-13.258,CDK4/6 Inhibitor,DB12001,CCN1CCN(Cc2ccc(Nc3ncc(F)c(Nc4ccc5c(c4)n(C(C)C)c(=O)n5C)n3)cn2)CC1,1412.029,3.87,-5.381,0.0022,8,2,96.14,8,43,10,58.567,0.407,110,-37.73,-5.8927,-3.3094,2.5833,5.8927,3.3094,1.2917,0.3871,4.601,-4.601,8.1946
Olaparib,-12.703,PARP Inhibitor,DB00140,O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F)N1CCN(C(=O)C2CC2)CC1,1326.871,2.347,-4.119,0.0331,4,1,86.37,4,43,9,46.29,0.333,104,-32.01,-5.922,-3.0913,2.8308,5.922,3.0913,1.4154,0.3533,4.5067,-4.5067,7.1747
Veliparib,-9.997,PARP Inhibitor,DB11692,CC1(NC(=O)c2cccc3[nH]c(C)nc23)CCCN1,1150.725,1.701,-2.732,0.4793,3,3,69.81,2,41,8,29.309,0.429,91,-25.67,-5.8873,-3.0398,2.8474,5.8873,3.0398,1.4237,0.3512,4.4635,-4.4635,6.9969
Capecitabine,-9.471,Antimetabolite,DB01101,CCCCCOC(=O)Nc1nc(=O)n([C@@H]2O[C@H](C)[C@@H](O)[C@H]2O)cc1F,1251.754,0.76,-2.329,1.6866,7,3,122.91,6,40,7,33.515,0.667,97,-26.84,-6.1369,-2.9961,3.1408,6.1369,2.9961,1.5704,0.3184,4.5665,-4.5665,6.6394
Erlotinib,-10.273,EGFR Inhibitor,DB00530,COCCOc1cc2ncnc(Nc3cccc(C#C)c3)c2cc1OCCOC,1285.843,3.405,-4.173,0.0264,7,1,74.73,10,41,9,44.373,0.273,101,-31.85,-5.8083,-3.1546,2.6537,5.8083,3.1546,1.3269,0.3768,4.4815,-4.4815,7.5681
Pamiparib,-11.47,PARP Inhibitor,DB15002,C[C@]12CCCN1CC3=NNC(=O)C4=C5C3=C2NC5=CC(=C4)F,1190.721,2.079,-3.302,0.1488,3,2,60.49,0,43,8,31.878,0.375,94,-27.04,-5.8289,-3.0507,2.7782,5.8289,3.0507,1.3891,0.3599,4.4398,-4.4398,7.0951
Idarubicin,-11.816,Anthracycline,DB00642,CC(=O)[C@@]1(O)Cc2c(O)c3C(=O)c4ccccc4C(=O)c3c(O)c2C[C@@H]1O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1,1389.9,0.5,-3.288,0.2562,10,5,176.61,3,43,8,49.124,0.423,108,-30.49,-6.1783,-2.9858,3.1925,6.1783,2.9858,1.5962,0.3132,4.5821,-4.5821,6.5765
Talazoparib,-11.728,PARP Inhibitor,DB11760,FC(F)(c1ccc(cc1)[C@H]1c2cc(F)ccc2N[C@@H]2C(=O)NN=C12)F,1241.687,3.256,-4.346,0.0157,3,2,53.49,1,42,8,32.773,0.176,97,-29.71,-5.7818,-3.1053,2.6765,5.7818,3.1053,1.3382,0.3736,4.4435,-4.4435,7.3771
Rucaparib,-10.023,PARP Inhibitor,DB12331,CNCc1ccc(-c2cc3[nH]c2CCNC(=O)c2cccc(F)c2-3)cc1,1241.809,3.493,-4.493,0.0112,2,3,56.92,3,42,9,39.808,0.19,98,-30.36,-5.6587,-3.1964,2.4622,5.6587,3.1964,1.2311,0.4061,4.4276,-4.4276,7.9615
Ribociclib,-11.543,CDK4/6 Inhibitor,DB09075,CN(C)C(=O)c1cnc(Nc2ccc(N3CCN(C)CC3)cn2)nc1N1CCCC1,1302.926,1.669,-3.403,0.1624,8,1,80.73,5,42,8,47.063,0.524,102,-29.73,-6.0113,-3.0441,2.9672,6.0113,3.0441,1.4836,0.337,4.5277,-4.5277,6.9087
Niraparib,-11.511,PARP Inhibitor,DB12340,NC(=O)c1cccc(c1)[C@@H]1CCCN(Cc2ccc3ncccc3c2)C1,1237.846,3.713,-4.513,0.0106,3,1,59.22,4,42,9,41.208,0.273,98,-30.04,-5.6569,-3.174,2.4829,5.6569,3.174,1.2414,0.4028,4.4154,-4.4154,7.8522
Alpelisib,-12.078,PI3Kalpha Inhibitor,DB12001,CC(C)(C(=O)N)c1nc(nc(c1)-c1nc(NC(=O)N[C@@H](C)c2ccccc2)cs1)N1CCCC1,1372.01,3.846,-5.144,0.0034,7,3,126.13,7,42,9,53.046,0.375,106,-34.86,-6.0925,-3.0509,3.0416,6.0925,3.0509,1.5208,0.3288,4.5717,-4.5717,6.8715
Ixabepilone,-7.755,Epothilone,DB04845,CC1CCCC(C)(C)[C@@H](O)CC(=O)N[C@H](C)[C@@H](O)[C@@H](C)/C(=C/c2nc(C)cs2)C1(C)C,1343.089,4.96,-5.812,0.0007,5,3,82.45,1,40,7,51.058,0.76,103,-29.98,-6.0167,-3.0263,2.9904,6.0167,3.0263,1.4952,0.3344,4.5215,-4.5215,6.8365
Palbociclib,-12.162,CDK4/6 Inhibitor,DB09073,CC(=O)c1c(C)c2cnc(Nc3ccc(N4CCNCC4)cn3)nc2n(C2CCCC2)c1=O,1339.943,2.966,-4.512,0.0138,8,2,105.04,5,43,9,50.996,0.458,105,-33.18,-6.0462,-3.0581,2.988,6.0462,3.0581,1.494,0.3347,4.5522,-4.5522,6.935
Epirubicin,-11.047,Anthracycline,DB00445,COc1cccc2C(=O)c3c(O)c4C[C@](O)(C(=O)CO)C[C@@H](O[C@H]5C[C@H](N)[C@@H](O)[C@H](C)O5)c4c(O)c3C(=O)c12,1435.925,0.001,-3.108,0.4235,12,6,206.07,5,43,8,52.227,0.444,111,-31.65,-6.2097,-2.9738,3.2359,6.2097,2.9738,1.618,0.309,4.5917,-4.5917,6.5156
Vinorelbine,-9.126,Vinca Alkaloid,DB00361,CCC1=C[C@@H]2C[C@@](C1)(c1c([nH]c3ccccc13)[C@@]1(CO2)C[C@H]2N(C)c3ccccc3[C@@]23C=CCN4CC[C@]13[C@H]4CC)C(=O)OC,1496.207,6.546,-7.756,0.0,5,1,57.8,3,47,9,70.475,0.513,117,-37.22,-5.6117,-3.3053,2.3065,5.6117,3.3053,1.1532,0.4336,4.4585,-4.4585,8.6185
