name,Docking_Score_kcal_mol,drug_class,drugbank_id,smiles,MW,LogP,LogS,WS_mg_mL,HBA,HBD,PSA,RBC,NOR,AromRings,Polarizability_alpha,Fraction_Csp3,HeavyAtoms,E_HOMO,E_LUMO,Gap_eV,IP_eV,EA_eV,Hardness_eta,Softness_S,Electronegativity_chi,Chemical_Potential_mu,Electrophilicity_omega
Topotecan,-7.84,Topoisomerase I Inhibitor,DB01030,CCC1(O)C(=O)OCc2c1cc1-c3nc4cc(O)c(CN(C)C)cc4cc3Cn1c2=O,421.453,1.847,-3.8,0.0667,7,2,104.89,3,5,3,45.023,0.348,31,-6.4029,-2.7062,3.6967,6.4029,2.7062,1.8484,0.2705,4.5546,-4.5546,5.6114
Paxalisib,-7.293,PI3K/mTOR Inhibitor,DB15438,CC(C)(C)c1nc(nc(n1)N1CCOCC1)-c1cnc(N2CCOCC2)nc1N,400.487,0.882,-2.987,0.4131,10,1,115.41,3,4,2,43.616,0.632,29,-6.6612,-2.4838,4.1774,6.6612,2.4838,2.0887,0.2394,4.5725,-4.5725,5.005
Gemcitabine,-5.345,Antimetabolite,DB00441,Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)c(=O)n1,263.2,-1.289,-0.775,44.2178,6,3,110.6,2,2,1,21.746,0.556,18,-6.782,-2.2299,4.5521,6.782,2.2299,2.2761,0.2197,4.506,-4.506,4.4602
Doxorubicin,-7.338,Anthracycline,DB00997,COc1cccc2C(=O)c3c(O)c4C[C@](O)(C(=O)CO)C[C@@H](O[C@H]5C[C@H](N)[C@H](O)[C@H](C)O5)c4c(O)c3C(=O)c12,543.525,0.001,-3.108,0.4235,12,6,206.07,5,5,2,52.227,0.444,39,-7.4385,-2.0437,5.3948,7.4385,2.0437,2.6974,0.1854,4.7411,-4.7411,4.1666
Abemaciclib,-9.06,CDK4/6 Inhibitor,DB12001,CCN1CCN(Cc2ccc(Nc3ncc(F)c(Nc4ccc5c(c4)n(C(C)C)c(=O)n5C)n3)cn2)CC1,519.629,3.87,-5.381,0.0022,8,2,96.14,8,5,4,58.567,0.407,38,-6.2074,-3.0667,3.1406,6.2074,3.0667,1.5703,0.3184,4.6371,-4.6371,6.8465
Olaparib,-8.763,PARP Inhibitor,DB00140,O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F)N1CCN(C(=O)C2CC2)CC1,434.471,2.347,-4.119,0.0331,4,1,86.37,4,5,3,46.29,0.333,32,-6.2423,-2.8163,3.426,6.2423,2.8163,1.713,0.2919,4.5293,-4.5293,5.9879
Veliparib,-6.342,PARP Inhibitor,DB11692,CC1(NC(=O)c2cccc3[nH]c(C)nc23)CCCN1,258.325,1.701,-2.732,0.4793,3,3,69.81,2,3,2,29.309,0.429,19,-6.201,-2.6305,3.5705,6.201,2.6305,1.7852,0.2801,4.4157,-4.4157,5.4611
Capecitabine,-5.763,Antimetabolite,DB01101,CCCCCOC(=O)Nc1nc(=O)n([C@@H]2O[C@H](C)[C@@H](O)[C@H]2O)cc1F,359.354,0.76,-2.329,1.6866,7,3,122.91,6,2,1,33.515,0.667,25,-6.8443,-2.2621,4.5822,6.8443,2.2621,2.2911,0.2182,4.5532,-4.5532,4.5243
Erlotinib,-6.34,EGFR Inhibitor,DB00530,COCCOc1cc2ncnc(Nc3cccc(C#C)c3)c2cc1OCCOC,393.443,3.405,-4.173,0.0264,7,1,74.73,10,3,3,44.373,0.273,29,-6.1077,-2.8895,3.2182,6.1077,2.8895,1.6091,0.3107,4.4986,-4.4986,6.2885
Pamiparib,-7.753,PARP Inhibitor,DB15002,C[C@]12CCCN1CC3=NNC(=O)C4=C5C3=C2NC5=CC(=C4)F,298.321,2.079,-3.302,0.1488,3,2,60.49,0,5,2,31.878,0.375,22,-6.1319,-2.7123,3.4196,6.1319,2.7123,1.7098,0.2924,4.4221,-4.4221,5.7185
