name,drug_class,drugbank_id,Real_Vina_Docking_Score_kcal_mol,Pose_File,Log_File
Olaparib,PARP Inhibitor,DB00140,-8.763,c:\Users\Andre\Proyectos doctorado\nano-qsar-ai-therapeutics\results\docking\real_poses\Olaparib_out.pdbqt,c:\Users\Andre\Proyectos doctorado\nano-qsar-ai-therapeutics\results\docking\real_poses\Olaparib_vina.log
Talazoparib,PARP Inhibitor,DB11760,-7.891,c:\Users\Andre\Proyectos doctorado\nano-qsar-ai-therapeutics\results\docking\real_poses\Talazoparib_out.pdbqt,c:\Users\Andre\Proyectos doctorado\nano-qsar-ai-therapeutics\results\docking\real_poses\Talazoparib_vina.log
Rucaparib,PARP Inhibitor,DB12331,-6.157,c:\Users\Andre\Proyectos doctorado\nano-qsar-ai-therapeutics\results\docking\real_poses\Rucaparib_out.pdbqt,c:\Users\Andre\Proyectos doctorado\nano-qsar-ai-therapeutics\results\docking\real_poses\Rucaparib_vina.log
Niraparib,PARP Inhibitor,DB12340,-7.659,c:\Users\Andre\Proyectos doctorado\nano-qsar-ai-therapeutics\results\docking\real_poses\Niraparib_out.pdbqt,c:\Users\Andre\Proyectos doctorado\nano-qsar-ai-therapeutics\results\docking\real_poses\Niraparib_vina.log
Veliparib,PARP Inhibitor,DB11692,-6.342,c:\Users\Andre\Proyectos doctorado\nano-qsar-ai-therapeutics\results\docking\real_poses\Veliparib_out.pdbqt,c:\Users\Andre\Proyectos doctorado\nano-qsar-ai-therapeutics\results\docking\real_poses\Veliparib_vina.log
Pamiparib,PARP Inhibitor,DB15002,-7.753,c:\Users\Andre\Proyectos doctorado\nano-qsar-ai-therapeutics\results\docking\real_poses\Pamiparib_out.pdbqt,c:\Users\Andre\Proyectos doctorado\nano-qsar-ai-therapeutics\results\docking\real_poses\Pamiparib_vina.log
Buparlisib,PI3K Inhibitor,DB12128,-7.575,c:\Users\Andre\Proyectos doctorado\nano-qsar-ai-therapeutics\results\docking\real_poses\Buparlisib_out.pdbqt,c:\Users\Andre\Proyectos doctorado\nano-qsar-ai-therapeutics\results\docking\real_poses\Buparlisib_vina.log
Cediranib,VEGFR/c-Kit Inhibitor,DB06436,-7.765,c:\Users\Andre\Proyectos doctorado\nano-qsar-ai-therapeutics\results\docking\real_poses\Cediranib_out.pdbqt,c:\Users\Andre\Proyectos doctorado\nano-qsar-ai-therapeutics\results\docking\real_poses\Cediranib_vina.log
Paxalisib,PI3K/mTOR Inhibitor,DB15438,-7.293,c:\Users\Andre\Proyectos doctorado\nano-qsar-ai-therapeutics\results\docking\real_poses\Paxalisib_out.pdbqt,c:\Users\Andre\Proyectos doctorado\nano-qsar-ai-therapeutics\results\docking\real_poses\Paxalisib_vina.log
Doxorubicin,Anthracycline,DB00997,-7.338,c:\Users\Andre\Proyectos doctorado\nano-qsar-ai-therapeutics\results\docking\real_poses\Doxorubicin_out.pdbqt,c:\Users\Andre\Proyectos doctorado\nano-qsar-ai-therapeutics\results\docking\real_poses\Doxorubicin_vina.log
